,toxic
103,0
22,0
264,0
289,0
429,1
461,0
383,0
259,0
413,0
478,0
357,0
74,0
354,0
71,0
258,0
397,0
187,0
460,0
172,0
479,0
289,0
44,1
60,0
82,0
122,0
357,0
15,0
65,1
423,1
144,0
374,0
161,0
233,0
379,0
143,0
357,0
187,0
321,0
449,0
473,0
12,1
183,0
110,0
414,0
289,0
294,0
450,0
391,0
214,0
461,0
119,0
381,0
54,0
26,0
117,0
220,0
230,0
52,0
294,0
320,0
400,0
232,0
157,0
436,0
268,1
20,0
402,0
52,0
274,0
312,1
280,0
213,0
30,0
336,0
182,0
22,0
31,0
445,0
73,0
9,0
483,0
455,0
53,0
51,1
147,0
159,1
369,0
13,0
177,0
411,0
365,0
499,0
52,0
407,0
334,0
21,0
29,0
190,0
259,0
204,0
58,1
470,0
263,0
465,0
11,0
118,0
414,0
461,0
289,0
337,0
247,0
353,0
126,0
74,0
360,0
203,0
48,0
78,0
440,0
478,0
240,0
348,0
153,0
273,0
95,0
213,0
293,0
208,0
342,1
87,0
305,0
263,0
424,0
389,0
324,1
427,0
376,0
319,0
156,0
155,0
138,0
120,0
64,0
106,0
146,0
136,0
410,0
161,0
427,0
451,1
99,0
337,0
398,0
306,0
140,0
82,0
176,1
197,0
111,0
55,1
459,0
178,0
420,0
400,0
185,0
470,0
217,0
412,0
416,0
315,0
474,0
216,0
119,0
438,0
393,0
174,0
22,0
212,0
404,0
234,0
12,1
100,0
416,0
23,0
363,0
10,0
272,0
451,1
430,0
280,0
93,0
200,0
20,0
339,0
466,0
210,0
139,0
292,0
297,0
400,0
100,0
303,0
358,0
27,0
40,0
354,0
302,0
495,0
145,0
255,0
461,0
226,0
235,0
360,0
379,0
454,0
488,0
12,1
209,0
228,0
396,0
99,0
30,0
385,0
15,0
136,0
328,0
165,0
458,0
309,0
439,1
469,0
480,0
99,0
108,0
342,1
172,0
236,0
161,0
392,1
215,0
263,0
262,0
291,0
273,0
2,0
27,0
325,0
491,0
427,0
148,0
27,0
487,0
309,0
437,1
64,0
355,0
20,0
251,0
234,0
226,0
12,1
312,1
48,0
117,0
53,0
137,0
52,0
43,1
302,0
52,0
73,0
45,0
12,1
164,0
101,0
279,0
257,0
469,0
336,0
355,0
397,0
137,0
162,0
408,0
386,0
110,0
101,0
16,1
267,0
181,1
371,0
23,0
28,0
170,0
408,0
227,0
377,0
187,0
345,0
229,0
320,0
339,0
118,0
155,0
271,0
174,0
464,0
103,0
91,0
185,0
459,0
282,0
180,0
169,0
186,0
174,0
221,0
232,0
161,0
420,0
133,0
390,0
479,0
223,0
152,0
32,0
54,0
441,0
6,1
243,0
312,1
125,0
11,0
15,0
207,0
42,1
372,0
483,0
460,0
134,0
227,0
110,0
306,0
456,0
159,1
330,1
263,0
224,0
470,0
216,0
455,0
44,1
213,0
58,1
131,0
103,0
194,0
412,0
488,0
156,0
97,0
225,0
411,0
204,0
78,0
123,0
470,0
427,0
217,0
3,0
89,0
103,0
392,1
118,0
132,0
311,0
95,0
467,0
433,0
330,1
142,0
287,0
27,0
277,0
232,0
16,1
58,1
89,0
491,0
198,0
361,0
440,0
25,0
24,0
393,0
300,1
338,0
266,0
460,0
180,0
455,0
359,0
67,0
494,0
350,0
411,0
458,0
490,0
320,0
48,0
174,0
51,1
101,0
215,0
437,1
187,0
56,1
46,0
158,0
488,0
173,0
241,0
281,0
240,0
369,0
4,0
83,0
307,0
360,0
458,0
247,0
53,0
160,0
433,0
421,0
410,0
225,0
14,0
223,0
60,0
121,0
276,0
45,0
452,0
389,0
293,0
61,0
85,0
445,0
209,0
77,0
201,1
301,0
396,0
222,0
221,0
2,0
477,0
5,0
92,0
7,0
427,0
492,0
234,0
107,0
160,0
208,0
239,0
330,1
332,0
49,0
10,0
350,0
155,0
491,0
69,0
168,1
271,0
67,0
354,0
251,0
47,0
183,0
319,0
186,0
89,0
445,0
331,0
138,0
356,0
88,0
273,0
18,0
470,0
310,0
357,0
373,0
465,0
153,0
389,0
259,0
107,0
